review_text,rating,date
Excellent service !,5,2026-03-15 23:41:15
good and safe,5,2026-03-15 23:39:07
👏,5,2026-03-15 23:32:14
I got charged for cancelling my ride. After waiting 10 minutes while the driver was 3 minutes away.,1,2026-03-15 23:31:54
Great,5,2026-03-15 23:31:43
Good rides,5,2026-03-15 23:29:19
great better than local taxis,5,2026-03-15 23:26:36
awesome,5,2026-03-15 23:24:44
it is one of the best app I have ever seen,5,2026-03-15 23:24:39
👍,5,2026-03-15 23:23:54
"you can't know pickup time until driver accepts the ride but there's a fee if you cancel after the driver accepts the ride? clearly, drivers 20+ minutes out are accepting rides to collect on fees, especially since the fee is 50% of the ride cost. instant uninstall.",1,2026-03-15 23:23:43
i have been using uber for many years but i want an option to select preferance for hindu driver muslim driver donot feel safe and many time the mai argue and make trip difficult and also try to make religious comment demeaning other culture so please provide this preferance as well this will be very helpfull,2,2026-03-15 23:23:23
excellent driving nice 🙂💯,5,2026-03-15 23:21:39
good ride,5,2026-03-15 23:21:35
hard to get rides,2,2026-03-15 23:18:47
good service,5,2026-03-15 23:17:56
"Smooth ride, great conversation, and clean car.",5,2026-03-15 23:09:48
"app shows different amount and charges more than that, worst experience regarding trip fare they shows lesser amount and then app shows too much amount",2,2026-03-15 23:05:36
nice,5,2026-03-15 23:05:00
best service,5,2026-03-15 23:04:48
I love this app,5,2026-03-15 23:04:32
"very professional, smooth safe ride",5,2026-03-15 23:04:00
nice riding app,5,2026-03-15 22:54:09
good 👍🏻😊 dropping,5,2026-03-15 22:52:38
great driver,5,2026-03-15 22:48:32
"most of the time the fare is high, like share and individual taxi, the worst algoritham.",2,2026-03-15 22:43:21
"not accept the booking, it's take tooooo long time, i need daily 4 auto booking, but riders not accepting, then I will go rapido please solve this, please call me from customer care, my number not connected",1,2026-03-15 22:41:49
Alhamdulillah excellent driver and apps both,5,2026-03-15 22:39:26
Safe And reliable here in the states 🇺🇸 and Jamaica 🇯🇲 ❤️💯,5,2026-03-15 22:35:48
"Hi, My name is Madhuri Amol Jagtap We booked a ride from Aakurdi Pimpri Chinchwad to Shivanjali mitra mandal trust Kharadi initially fare was Rs 303 and after reaching drop location rider said it is 480 and later I checked final frare was 370 Rs both rider and uber has deceived us very bad experience with uber. shame on you, you are the worst and also your riders both have planned to cheat customers your app should be banned in India I will make sure to viral this message to everywhere.",1,2026-03-15 22:35:43
good ride,5,2026-03-15 22:35:35
excellent,5,2026-03-15 22:31:33
excellent app with cheap prices 😃❤️❤️,5,2026-03-15 22:29:14
great experience,5,2026-03-15 22:27:55
straight forward and easy.,5,2026-03-15 22:25:05
C R A P Very Bad. It used to be very good but now they are just money sharks.And drivers are really bad.Very unprofessional,1,2026-03-15 22:24:39
good,5,2026-03-15 22:22:14
Excellent service. Got us to the ship when we had the wrong location..,5,2026-03-15 22:19:57
Excellent service.,5,2026-03-15 22:15:07
Well mannered,5,2026-03-15 22:13:00
He was an awesome driver very polite and was easy to talk to,5,2026-03-15 22:12:23
"on time, polite driver. Great ride",5,2026-03-15 22:10:18
great experience 👍,5,2026-03-15 22:08:51
super,5,2026-03-15 22:06:31
ওকে,4,2026-03-15 22:06:25
this is better than any other apps,5,2026-03-15 22:06:10
Clean car excellent Driver !!,5,2026-03-15 22:01:27
Very exciting I'm glad that I chose Uber ride,5,2026-03-15 22:00:22
excellent punctual service,5,2026-03-15 21:59:55
very nice driver,5,2026-03-15 21:59:44
best ever service for fast journey,5,2026-03-15 21:59:21
"after half a year of usage they suddenly require a verification only by sms, i am outside my country and the sim doesn't work so I can't use uber. Absolutely Terrible design by uber, will never use it again",1,2026-03-15 21:56:44
very bad in the experience in night time.. many time I book the cab are auto.. no one responds.. seens waiting waiting...,2,2026-03-15 21:54:41
good service 👍,5,2026-03-15 21:53:18
good,5,2026-03-15 21:53:12
My wife and I experience was great!,5,2026-03-15 21:49:06
application size High MB.,1,2026-03-15 21:48:00
good and best app,5,2026-03-15 21:46:54
"very pleasant, easy to communicate...",5,2026-03-15 21:44:07
The app isn't fully functioning. It's working slow,1,2026-03-15 21:40:31
good app,5,2026-03-15 21:40:25
being charged for uber one i didn't sign up for this but no where on app to cancel it,1,2026-03-15 21:37:44
very good,5,2026-03-15 21:36:35
mene ek ride book Kiya uska amount 16rs app m dikhaya or driver ko uske app m extra payment dikhaya 66rs aur . uber m complain ka koi response nhi aaya . uber fraud company,1,2026-03-15 21:35:45
nice App 👍,5,2026-03-15 21:33:54
ok,5,2026-03-15 21:32:59
"Drivers unreliable, they don't accept rides for whatever reason. doesn't matter how many times you book a trip, if they don't feel like it you won't get a ride. unacceptable",1,2026-03-15 21:32:26
Fantastic,5,2026-03-15 21:32:19
"The driver exhibited aggressive and ill-mannered behavior from the start. The driver repeatedly engaged in inappropriate ""adult"" conversations despite my clear lack of interest and visible discomfort. When the situation became unbearable, I requested to end the trip immediately for my safety. The driver ignored my repeated requests to stop and kept driving. I am reporting this as a serious safety incident. I request an immediate investigation and fo",1,2026-03-15 21:28:52
"worst app ever, no help from customer support when u report any incident.",1,2026-03-15 21:23:46
very good,5,2026-03-15 21:22:05
the latest updates are not working properly as I cant book rides or shuttles as smoothly as before. The location settings as well as payment options also arent working properly for me,2,2026-03-15 21:21:11
very nice,5,2026-03-15 21:19:42
"what the hell are you screwing me I having not seeing any your contact number either customer number whenever I try to reach help even trying to text for my payment issue, not responded yet for 5 hour agos. that is most your tactics play like dodging that u can't responsibility",1,2026-03-15 21:18:41
good 👍 uber,5,2026-03-15 21:15:03
great,5,2026-03-15 21:14:24
Good service and timings,5,2026-03-15 21:13:51
the first was smooth but now like at this hour I am requesting for my uber and it says I should another method of paynent what's thissss surely this is seriously absurd,1,2026-03-15 21:13:36
wonderful,4,2026-03-15 21:12:23
"friendly, great service knows his way around lax to avoid lines!!",5,2026-03-15 21:11:34
very clean and excellent drive!,5,2026-03-15 21:08:15
Good 👍,5,2026-03-15 21:04:02
"Uber is not helpful these days. most of the time it takes really long time to get a taxi even though the application shows multiple cars in vicinity. Then if by chance any uber driver accepts the ride the car is damaged from outside. Every uber that has arrived since last year had scratches and big visible damges on the car. Even after i booked PREMIER, the car was still awful that came to pickup. Uber is becoming worse service with every passing day.one driver fighting on phone while driving.",2,2026-03-15 21:03:19
"won't let me use my card, ot was working just fine last week and their is money on it.but its not letting me use it. plus prices have been changing way too much",1,2026-03-15 21:01:07
Indians driver and srilanka drivers good but Pakistan and Bangladesh driver baad small,5,2026-03-15 20:59:24
"Uber is a good app, but there is one thing about it that I absolutely do not like. This is something that really needs to be updated. Many times when I select my ride, the destination price shown on my phone is different from the price shown on the driver’s phone. Because of this, drivers often behave badly with me. This issue really needs to be fixed in an update. Otherwise, I will have to seriously think before using Uber in the future. The destination price shown to me should be the same",1,2026-03-15 20:57:30
good service driver,4,2026-03-15 20:56:56
